C,SETP.WORLD,DVD_INTERCONNECTOR,AEMO,PUBLIC,2020/07/09,00:15:14,0000000325429939,,0000000325429872
I,MARKET_CONFIG,INTERCONNECTOR,1,INTERCONNECTORID,REGIONFROM,RSOID,REGIONTO,DESCRIPTION,LASTCHANGED
D,MARKET_CONFIG,INTERCONNECTOR,1,SNOWY1,SNOWY1,,NSW1,"SNOWY1 TO NSW1","2004/06/11 10:43:05"
D,MARKET_CONFIG,INTERCONNECTOR,1,V-SN,VIC1,,SNOWY1,"VICTORIA TO SNOWY","2004/06/11 10:43:05"
D,MARKET_CONFIG,INTERCONNECTOR,1,V-SA,VIC1,,SA1,"VICTORIA TO SA","2004/06/11 10:43:06"
D,MARKET_CONFIG,INTERCONNECTOR,1,N-Q-MNSP1,NSW1,,QLD1,"Directlink DC Interconnection","2006/03/21 09:57:54"
D,MARKET_CONFIG,INTERCONNECTOR,1,NSW1-QLD1,NSW1,,QLD1,"NSW to QLD AC Interconnection - QNI","2004/06/11 10:43:05"
D,MARKET_CONFIG,INTERCONNECTOR,1,V-S-MNSP1,VIC1,,SA1,"MurrayLink DC Interconnector (MNSP)","2004/06/11 10:43:06"
D,MARKET_CONFIG,INTERCONNECTOR,1,T-V-MNSP1,TAS1,,VIC1,"Basslink DC Interconnector (MNSP)","2008/09/30 14:50:56"
D,MARKET_CONFIG,INTERCONNECTOR,1,VIC1-NSW1,VIC1,,NSW1,"VIC1-NSW1 Interconnection","2008/06/18 15:53:23"
C,"END OF REPORT",11
